time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,main_cycles,t1_cycles,t2_cycles,t3_cycles
35.29,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3530,747,1604,1707
35.3,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3531,747,1604,1707
35.31,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3532,747,1604,1707
35.32,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3533,747,1604,1707
35.33,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3534,747,1604,1707
35.34,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006204,0.016314,0.000119,1,1,1,1,1,1,1,1,3535,747,1604,1707
35.35,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016314,0.000119,1,1,1,1,1,1,1,1,3536,747,1604,1707
35.36,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016314,0.000119,1,1,1,1,1,1,1,1,3537,747,1604,1707
35.37,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016314,0.000119,1,1,1,1,1,1,1,1,3538,747,1604,1707
35.38,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016314,0.000119,1,1,1,1,1,1,1,1,3539,747,1604,1707
